headline,label
Aravalli Steel posts record quarterly profit as volumes surge,positive
Konkan Power misses earnings estimates on higher fuel costs,negative
Deccan Pharma wins USFDA approval for generic cardiac drug,positive
Narmada Cement shares slump after weak monsoon demand,negative
Sahyadri Finance board approves share buyback at premium,positive
Coromandel Telecom fined by regulator for service lapses,negative
Kaveri Software beats revenue guidance on strong deal wins,positive
Vindhya Motors recalls 40000 scooters over brake defect,negative
Thar Solar commissions 500 MW plant ahead of schedule,positive
Malabar Textiles reports widening loss amid export slowdown,negative
Himalaya Agro Foods announces interim dividend of Rs 5 per share,positive
Brahmaputra Logistics CFO resigns citing personal reasons,negative
Aravalli Steel to hold board meeting on Friday,neutral
Konkan Power shifts registered office to Pune,neutral
Deccan Pharma schedules analyst call for next week,neutral
Narmada Cement appoints new company secretary,neutral
Kaveri Software upgraded to buy by brokerage on margin expansion,positive
Sahyadri Finance faces probe over loan evergreening allegations,negative
Coromandel Telecom subscriber base grew 6 percent year on year,positive
Vindhya Motors sales declined for third straight month,negative
Thar Solar lists on NSE and BSE today,neutral
Malabar Textiles promoter pledge rises to 60 percent,negative
Himalaya Agro Foods rallied after strong rural demand commentary,positive
Brahmaputra Logistics wins contract from state railway operator,positive
Aravalli Steel downgraded as steel prices plunge globally,negative
Konkan Power order book grew to record high,positive
Deccan Pharma plant receives warning letter from regulator,negative
Narmada Cement capacity expansion approved by board,positive
Kaveri Software to announce results on 14 October,neutral
Sahyadri Finance asset quality improved sharply this quarter,positive
Coromandel Telecom delayed spectrum payment raises default risk,negative
Vindhya Motors launches electric model in three cities,neutral
Thar Solar shares crash after auditor flags accounting issues,negative
Malabar Textiles exceeded export targets on new European orders,positive
Himalaya Agro Foods faces lawsuit over labelling claims,negative
Brahmaputra Logistics annual general meeting to be held virtually,neutral
Aravalli Steel net debt lower after strong free cash flow,positive
Konkan Power trading halted pending clarification on news report,negative
Deccan Pharma outperformed sector index on robust export growth,positive
Narmada Cement impairment charge wipes out quarterly profit,negative
Kaveri Software not affected by client insolvency says management,positive
Sahyadri Finance allots non convertible debentures,neutral
Coromandel Telecom posts strong improvement in average revenue per user,positive
Vindhya Motors margin shortfall blamed on weak pricing,negative
Thar Solar record date for bonus issue fixed,neutral
Malabar Textiles writedown of inventory after fire at plant,negative
Himalaya Agro Foods gains market share in packaged staples,positive
Brahmaputra Logistics quarterly volumes slumped on port congestion,negative
